Year,Host,Stage,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team
1930,Uruguay,Group Stage,France,Mexico,4,1,France,Mexico
1930,Uruguay,Group Stage,Belgium,United States,0,3,United States,Belgium
1930,Uruguay,Group Stage,Brazil,Yugoslavia,1,2,Yugoslavia,Brazil
1930,Uruguay,Group Stage,Peru,Romania,1,3,Romania,Peru
1930,Uruguay,Group Stage,Argentina,France,1,0,Argentina,France
1930,Uruguay,Group Stage,Chile,Mexico,3,0,Chile,Mexico
1930,Uruguay,Group Stage,Bolivia,Yugoslavia,0,4,Yugoslavia,Bolivia
1930,Uruguay,Group Stage,Paraguay,United States,0,3,United States,Paraguay
1930,Uruguay,Group Stage,Uruguay,Peru,1,0,Uruguay,Peru
1930,Uruguay,Group Stage,Argentina,Mexico,6,3,Argentina,Mexico
1930,Uruguay,Group Stage,Chile,France,1,0,Chile,France
1930,Uruguay,Group Stage,Belgium,Paraguay,0,1,Paraguay,Belgium
1930,Uruguay,Group Stage,Bolivia,Brazil,0,4,Brazil,Bolivia
1930,Uruguay,Group Stage,Uruguay,Romania,4,0,Uruguay,Romania
1930,Uruguay,Group Stage,Argentina,Chile,3,1,Argentina,Chile
1930,Uruguay,Semifinals,Argentina,United States,6,1,Argentina,United States
1930,Uruguay,Semifinals,Uruguay,Yugoslavia,6,1,Uruguay,Yugoslavia
1930,Uruguay,Final,Uruguay,Argentina,4,2,Uruguay,Argentina
1934,Italy,Round of 16,Argentina,Sweden,2,3,Sweden,Argentina
1934,Italy,Round of 16,Austria,France,3,2,Austria,France
1934,Italy,Round of 16,Belgium,Germany,2,5,Germany,Belgium
1934,Italy,Round of 16,Brazil,Spain,1,3,Spain,Brazil
1934,Italy,Round of 16,Czechoslovakia,Romania,2,1,Czechoslovakia,Romania
1934,Italy,Round of 16,Egypt,Hungary,2,4,Hungary,Egypt
1934,Italy,Round of 16,Italy,United States,7,1,Italy,United States
1934,Italy,Round of 16,Netherlands,Switzerland,2,3,Switzerland,Netherlands
1934,Italy,Quarterfinals,Austria,Hungary,2,1,Austria,Hungary
1934,Italy,Quarterfinals,Czechoslovakia,Switzerland,3,2,Czechoslovakia,Switzerland
1934,Italy,Quarterfinals,Germany,Sweden,2,1,Germany,Sweden
1934,Italy,Quarterfinals,Italy,Spain,1,1,Draw,Draw
1934,Italy,Quarterfinals,Italy,Spain,1,0,Italy,Spain
1934,Italy,Semifinals,Czechoslovakia,Germany,3,1,Czechoslovakia,Germany
1934,Italy,Semifinals,Italy,Austria,1,0,Italy,Austria
1934,Italy,Third place,Austria,Germany,2,3,West Germany,Austria
1934,Italy,Final,Italy,Czechoslovakia,2,1,Italy,Czechoslovakia
1938,France,Round of 16,Germany,Switzerland,1,1,Draw,Draw
1938,France,Round of 16,Brazil,Poland,6,5,Brazil,Poland
1938,France,Round of 16,Cuba,Romania,3,3,Draw,Draw
1938,France,Round of 16,Czechoslovakia,Netherlands,3,0,Czechoslovakia,Netherlands
1938,France,Round of 16,France,Belgium,3,1,France,Belgium
1938,France,Round of 16,Hungary,Dutch West Indies,6,0,Hungary,Dutch West Indies
1938,France,Round of 16,Italy,Norway,2,1,Italy,Norway
1938,France,Round of 16,Cuba,Romania,2,1,Cuba,Romania
1938,France,Round of 16,Germany,Switzerland,2,4,Switzerland,Germany
1938,France,Quarterfinals,Brazil,Czechoslovakia,1,1,Draw,Draw
1938,France,Quarterfinals,Cuba,Sweden,0,8,Sweden,Cuba
1938,France,Quarterfinals,France,Italy,1,3,Italy,France
1938,France,Quarterfinals,Hungary,Switzerland,2,0,Hungary,Switzerland
1938,France,Quarterfinals,Brazil,Czechoslovakia,2,1,Brazil,Czechoslovakia
1938,France,Semifinals,Brazil,Italy,1,2,Italy,Brazil
1938,France,Semifinals,Hungary,Sweden,5,1,Hungary,Sweden
1938,France,Third place,Brazil,Sweden,4,2,Brazil,Sweden
1938,France,Final,Hungary,Italy,2,4,Italy,Hungary
1950,Brazil,Group Stage,Brazil,Mexico,4,0,Brazil,Mexico
1950,Brazil,Group Stage,Chile,England,0,2,England,Chile
1950,Brazil,Group Stage,Italy,Sweden,2,3,Sweden,Italy
1950,Brazil,Group Stage,Spain,United States,3,1,Spain,United States
1950,Brazil,Group Stage,Switzerland,Yugoslavia,0,3,Yugoslavia,Switzerland
1950,Brazil,Group Stage,Brazil,Switzerland,2,2,Draw,Draw
1950,Brazil,Group Stage,Mexico,Yugoslavia,1,4,Yugoslavia,Mexico
1950,Brazil,Group Stage,Chile,Spain,0,2,Spain,Chile
1950,Brazil,Group Stage,England,United States,0,1,United States,England
1950,Brazil,Group Stage,Paraguay,Sweden,2,2,Draw,Draw
1950,Brazil,Group Stage,Brazil,Yugoslavia,2,0,Brazil,Yugoslavia
1950,Brazil,Group Stage,Bolivia,Uruguay,0,8,Uruguay,Bolivia
1950,Brazil,Group Stage,Chile,United States,5,2,Chile,United States
1950,Brazil,Group Stage,England,Spain,0,1,Spain,England
1950,Brazil,Group Stage,Italy,Paraguay,2,0,Italy,Paraguay
1950,Brazil,Group Stage,Mexico,Switzerland,1,2,Switzerland,Mexico
1950,Brazil,Final Round,Brazil,Sweden,7,1,Brazil,Sweden
1950,Brazil,Final Round,Spain,Uruguay,2,2,Draw,Draw
1950,Brazil,Final Round,Brazil,Spain,6,1,Brazil,Spain
1950,Brazil,Final Round,Sweden,Uruguay,2,3,Uruguay,Sweden
1950,Brazil,Final Round,Brazil,Uruguay,1,2,Uruguay,Brazil
1950,Brazil,Final Round,Spain,Sweden,1,3,Sweden,Spain
1954,Switzerland,Group Stage,Austria,Scotland,1,0,Austria,Scotland
1954,Switzerland,Group Stage,Brazil,Mexico,5,0,Brazil,Mexico
1954,Switzerland,Group Stage,Czechoslovakia,Uruguay,0,2,Uruguay,Czechoslovakia
1954,Switzerland,Group Stage,France,Yugoslavia,0,1,Yugoslavia,France
1954,Switzerland,Group Stage,Belgium,England,4,4,Draw,Draw
1954,Switzerland,Group Stage,West Germany,Turkey,4,1,West Germany,Turkey
1954,Switzerland,Group Stage,Hungary,South Korea,9,0,Hungary,South Korea
1954,Switzerland,Group Stage,Switzerland,Italy,2,1,Switzerland,Italy
1954,Switzerland,Group Stage,Austria,Czechoslovakia,5,0,Austria,Czechoslovakia
1954,Switzerland,Group Stage,Brazil,Yugoslavia,1,1,Draw,Draw
1954,Switzerland,Group Stage,France,Mexico,3,2,France,Mexico
1954,Switzerland,Group Stage,Scotland,Uruguay,0,7,Uruguay,Scotland
1954,Switzerland,Group Stage,Belgium,Italy,1,4,Italy,Belgium
1954,Switzerland,Group Stage,West Germany,Hungary,3,8,Hungary,West Germany
1954,Switzerland,Group Stage,South Korea,Turkey,0,7,Turkey,South Korea
1954,Switzerland,Group Stage,Switzerland,England,0,2,England,Switzerland
1954,Switzerland,Group Stage,West Germany,Turkey,7,2,West Germany,Turkey
1954,Switzerland,Group Stage,Switzerland,Italy,4,1,Switzerland,Italy
1954,Switzerland,Quarterfinals,England,Uruguay,2,4,Uruguay,England
1954,Switzerland,Quarterfinals,Switzerland,Austria,5,7,Austria,Switzerland
1954,Switzerland,Quarterfinals,Brazil,Hungary,2,4,Hungary,Brazil
1954,Switzerland,Quarterfinals,West Germany,Yugoslavia,2,0,West Germany,Yugoslavia
1954,Switzerland,Semifinals,Austria,West Germany,1,6,West Germany,Austria
1954,Switzerland,Semifinals,Hungary,Uruguay,4,2,Hungary,Uruguay
1954,Switzerland,Third place,Austria,Uruguay,3,1,Austria,Uruguay
1954,Switzerland,Final,West Germany,Hungary,3,2,West Germany,Hungary
1958,Sweden,Group Stage,Argentina,West Germany,1,3,West Germany,Argentina
1958,Sweden,Group Stage,Austria,Brazil,0,3,Brazil,Austria
1958,Sweden,Group Stage,Czechoslovakia,Northern Ireland,0,1,Northern Ireland,Czechoslovakia
1958,Sweden,Group Stage,England,Soviet Union,2,2,Draw,Draw
1958,Sweden,Group Stage,France,Paraguay,7,3,France,Paraguay
1958,Sweden,Group Stage,Hungary,Wales,1,1,Draw,Draw
1958,Sweden,Group Stage,Scotland,Yugoslavia,1,1,Draw,Draw
1958,Sweden,Group Stage,Sweden,Mexico,3,0,Sweden,Mexico
1958,Sweden,Group Stage,Argentina,Northern Ireland,3,1,Argentina,Northern Ireland
1958,Sweden,Group Stage,Austria,Soviet Union,0,2,Soviet Union,Austria
1958,Sweden,Group Stage,Brazil,England,0,0,Draw,Draw
1958,Sweden,Group Stage,Czechoslovakia,West Germany,2,2,Draw,Draw
1958,Sweden,Group Stage,France,Yugoslavia,2,3,Yugoslavia,France
1958,Sweden,Group Stage,Mexico,Wales,1,1,Draw,Draw
1958,Sweden,Group Stage,Paraguay,Scotland,3,2,Paraguay,Scotland
1958,Sweden,Group Stage,Sweden,Hungary,2,1,Sweden,Hungary
1958,Sweden,Group Stage,Argentina,Czechoslovakia,1,6,Czechoslovakia,Argentina
1958,Sweden,Group Stage,Austria,England,2,2,Draw,Draw
1958,Sweden,Group Stage,Brazil,Soviet Union,2,0,Brazil,Soviet Union
1958,Sweden,Group Stage,France,Scotland,2,1,France,Scotland
1958,Sweden,Group Stage,West Germany,Northern Ireland,2,2,Draw,Draw
1958,Sweden,Group Stage,Hungary,Mexico,4,0,Hungary,Mexico
1958,Sweden,Group Stage,Paraguay,Yugoslavia,3,3,Draw,Draw
1958,Sweden,Group Stage,Sweden,Wales,0,0,Draw,Draw
1958,Sweden,Group Stage,Czechoslovakia,Northern Ireland,1,2,Northern Ireland,Czechoslovakia
1958,Sweden,Group Stage,England,Soviet Union,0,1,Soviet Union,England
1958,Sweden,Group Stage,Hungary,Wales,1,2,Wales,Hungary
1958,Sweden,Quarterfinals,Brazil,Wales,1,0,Brazil,Wales
1958,Sweden,Quarterfinals,France,Northern Ireland,4,0,France,Northern Ireland
1958,Sweden,Quarterfinals,West Germany,Yugoslavia,1,0,West Germany,Yugoslavia
1958,Sweden,Quarterfinals,Sweden,Soviet Union,2,0,Sweden,Soviet Union
1958,Sweden,Semifinals,Brazil,France,5,2,Brazil,France
1958,Sweden,Semifinals,Sweden,West Germany,3,1,Sweden,West Germany
1958,Sweden,Third place,France,West Germany,6,3,France,West Germany
1958,Sweden,Final,Sweden,Brazil,2,5,Brazil,Sweden
1962,Chile,Group Stage,Argentina,Bulgaria,1,0,Argentina,Bulgaria
1962,Chile,Group Stage,Brazil,Mexico,2,0,Brazil,Mexico
1962,Chile,Group Stage,Chile,Switzerland,3,1,Chile,Switzerland
1962,Chile,Group Stage,Colombia,Uruguay,1,2,Uruguay,Colombia
1962,Chile,Group Stage,Czechoslovakia,Spain,1,0,Czechoslovakia,Spain
1962,Chile,Group Stage,England,Hungary,1,2,Hungary,England
1962,Chile,Group Stage,West Germany,Italy,0,0,Draw,Draw
1962,Chile,Group Stage,Soviet Union,Yugoslavia,2,0,Soviet Union,Yugoslavia
1962,Chile,Group Stage,Argentina,England,1,3,England,Argentina
1962,Chile,Group Stage,Brazil,Czechoslovakia,0,0,Draw,Draw
1962,Chile,Group Stage,Chile,Italy,2,0,Chile,Italy
1962,Chile,Group Stage,Uruguay,Yugoslavia,1,3,Yugoslavia,Uruguay
1962,Chile,Group Stage,Bulgaria,Hungary,1,6,Hungary,Bulgaria
1962,Chile,Group Stage,Colombia,Soviet Union,4,4,Draw,Draw
1962,Chile,Group Stage,West Germany,Switzerland,2,1,West Germany,Switzerland
1962,Chile,Group Stage,Mexico,Spain,0,1,Spain,Mexico
1962,Chile,Group Stage,Argentina,Hungary,0,0,Draw,Draw
1962,Chile,Group Stage,Brazil,Spain,2,1,Brazil,Spain
1962,Chile,Group Stage,Chile,West Germany,0,2,West Germany,Chile
1962,Chile,Group Stage,Soviet Union,Uruguay,2,1,Soviet Union,Uruguay
1962,Chile,Group Stage,Bulgaria,England,0,0,Draw,Draw
1962,Chile,Group Stage,Colombia,Yugoslavia,0,5,Yugoslavia,Colombia
1962,Chile,Group Stage,Czechoslovakia,Mexico,1,3,Mexico,Czechoslovakia
1962,Chile,Group Stage,Italy,Switzerland,3,0,Italy,Switzerland
1962,Chile,Quarterfinals,Brazil,England,3,1,Brazil,England
1962,Chile,Quarterfinals,Chile,Soviet Union,2,1,Chile,Soviet Union
1962,Chile,Quarterfinals,Czechoslovakia,Hungary,1,0,Czechoslovakia,Hungary
1962,Chile,Quarterfinals,West Germany,Yugoslavia,0,1,Yugoslavia,West Germany
1962,Chile,Semifinals,Chile,Brazil,2,4,Brazil,Chile
1962,Chile,Semifinals,Czechoslovakia,Yugoslavia,3,1,Czechoslovakia,Yugoslavia
1962,Chile,Third place,Chile,Yugoslavia,1,0,Chile,Yugoslavia
1962,Chile,Final,Brazil,Czechoslovakia,3,1,Brazil,Czechoslovakia
1966,England,Group Stage,England,Uruguay,0,0,Draw,Draw
1966,England,Group Stage,Brazil,Bulgaria,2,0,Brazil,Bulgaria
1966,England,Group Stage,West Germany,Switzerland,5,0,West Germany,Switzerland
1966,England,Group Stage,North Korea,Soviet Union,0,3,Soviet Union,North Korea
1966,England,Group Stage,Argentina,Spain,2,1,Argentina,Spain
